Role,Features
Front-End Developer,"5 to 13 Years UI Developer M.Tech Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience. 50052"
Event Coordinator,"4 to 9 Years Event Planner M.Tech Event planning Vendor coordination Budget management Marketing and promotion Logistics Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution. 72807"
Account Executive,"1 to 10 Years Sales Representative BA Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting Manage client accounts, negotiate contracts, and achieve revenue targets by selling products or services. Provide ongoing support and solutions to clients. Collaborate with cross-functional teams to meet client needs. 130966"
B2B Sales Consultant,"0 to 10 Years Sales Consultant B.Tech B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals. 102861"
Database Developer,"3 to 8 Years Database Administrator B.Tech Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures. 86718"
Construction Project Manager,"4 to 8 Years Project Manager PhD Construction management Budgeting Contract negotiation Safety regulations Oversee construction projects, including budgeting, scheduling, and coordination of subcontractors. Ensure compliance with safety regulations. Communicate project status to stakeholders. 120930"
Social Media Manager,"5 to 9 Years Digital Marketing Specialist M.Tech Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics. 16792"
Instructional Designer,5 to 15 Years Technical Writer M.Tech Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge Design and develop instructional materials and e-learning courses. Create interactive and engaging learning experiences. Align instructional content with learning objectives. 25307
Content Strategist,"4 to 15 Years Content Writer BCA Content strategy Content planning SEO optimization Content marketing Analytics Develop content strategies, plan editorial calendars, and ensure content aligns with marketing and branding objectives. Monitor content performance and adjust strategies. Identify content trends and opportunities. 50004"
Training Coordinator,"2 to 14 Years HR Coordinator MBA Training program coordination Training material development Learning management systems Coordinate employee training programs, track training records, and assist with training logistics. Identify training needs and develop training materials. Facilitate training sessions or workshops. 106859"
